name,type,model,ip,ap_group,ethernet_mac,map_location,radio_mac,building_id,building_name,RoomNum,AP_Model,In_Roomb,In_Hallb,In_OpenArea,On_Celing,On_Wall,On_Desk
bryancenter-griflc-ap3802p-rw-1,AP3800P,AIR-AP3802P-B-K9,10.140.186.119,bryancenter-ag,70:db:98:66:5d:74,griffiththeater,00:27:e3:21:17:e0,7791.0,BryanStudentCenter,griflc,ap3802p,True,False,False,False,True,False
bryancenter-002j-ap3602i-rc-1,AP3600I,AIR-CAP3602I-A-K9,10.140.186.95,bryancenter-ag,7c:ad:74:18:c3:19,Bryancenter,08:cc:68:b8:f3:f0,7791.0,BryanStudentCenter,002j,ap3602i,True,False,False,True,False,False
bryancenter-postoff-ap3602e-rc-1,AP3600E,AIR-CAP3602E-A-K9,10.140.186.92,bryancenter-ag,7c:ad:74:85:00:42,defaultlocation,08:cc:68:91:23:00,7791.0,BryanStudentCenter,postoff,ap3602e,True,False,False,True,False,False
bryancenter-grifrf-ap3802p-rw-1,AP3800P,AIR-AP3802P-B-K9,10.140.186.146,bryancenter-ag,f8:0b:cb:9d:8b:ec,griffiththeater,70:db:98:e1:df:20,7791.0,BryanStudentCenter,grifrf,ap3802p,True,False,False,False,True,False
bryancenter-035p-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.60,bryancenter-ag,c4:64:13:38:d0:ed,BryanCtr,c4:0a:cb:df:3a:b0,7791.0,BryanStudentCenter,035p,ap3502i,False,True,False,True,False,False
bryancenter-loop-ap3602i-rc-3,AP3600I,AIR-CAP3602I-A-K9,10.140.186.152,bryancenter-ag,7c:ad:74:18:93:8e,defaultlocation,50:06:04:c3:f7:80,7791.0,BryanStudentCenter,loop,ap3602i,True,False,False,True,False,False
bryancenter-ctrlbth-ap3502e-rw-1,AP3500E,AIR-CAP3502E-A-K9,10.140.186.140,bryancenter-ag,2c:54:2d:a4:18:1e,BryanCtr,a4:18:75:02:e5:30,7791.0,BryanStudentCenter,ctrlbth,ap3502e,True,False,False,False,True,False
bryancenter-022-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.93,bryancenter-ag,c4:64:13:5b:a9:4b,BryanCtr,c4:0a:cb:df:2d:70,7791.0,BryanStudentCenter,022,ap3502i,False,True,False,True,False,False
bryancenter-042-ap3702i-rc-1,AP3700I,AIR-CAP3702I-A-K9,10.140.186.97,bryancenter-ag,00:42:68:af:60:40,BryanCenter,00:42:68:ab:e5:40,7791.0,BryanStudentCenter,042,ap3702i,True,False,False,True,False,False
bryancenter-251-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.84,bryancenter-ag,64:9e:f3:90:31:ee,defaultlocation,08:d0:9f:8f:4e:40,7791.0,BryanStudentCenter,251,ap3502i,False,True,False,True,False,False
bryancenter-0058-ap3502e-rw-1,AP3500E,AIR-CAP3502E-A-K9,10.140.186.123,bryancenter-ag,2c:54:2d:a4:18:65,defaultlocation,a4:18:75:18:10:c0,7791.0,BryanStudentCenter,0058,ap3502e,True,False,False,False,True,False
bryancenter-0012mr-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.54,bryancenter-ag,c4:64:13:38:d1:89,defaultlocation,c4:0a:cb:eb:48:30,7791.0,BryanStudentCenter,0012mr,ap3502i,False,True,False,True,False,False
bryancenter-107-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.163,bryancenter-ag,28:94:0f:26:0f:ff,Bryanctr,0c:85:25:69:48:10,7791.0,BryanStudentCenter,107,ap3502i,True,False,False,True,False,False
bryancenter-202-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.157,bryancenter-ag,64:9e:f3:90:52:d2,Bryanctr,0c:85:25:7e:69:10,7791.0,BryanStudentCenter,202,ap3502i,False,True,False,True,False,False
bryancenter-014t-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.113,bryancenter-ag,c4:64:13:38:d1:12,Bryanctr,c4:0a:cb:eb:36:50,7791.0,BryanStudentCenter,014t,ap3502i,False,True,False,True,False,False
bryancenter-043-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.102,bryancenter-ag,c4:64:13:c3:0e:46,BryanCtr,d4:a0:2a:11:b6:10,7791.0,BryanStudentCenter,043,ap3502i,False,True,False,True,False,False
bryancenter-216-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.86,bryancenter-ag,c4:64:13:11:26:8e,Bryanctr,d8:24:bd:d4:f7:c0,7791.0,BryanStudentCenter,216,ap3502i,False,True,False,True,False,False
bryancenter-0066-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.131,bryancenter-ag,c4:64:13:5b:aa:b6,defaultlocation,c4:0a:cb:df:58:c0,7791.0,BryanStudentCenter,0066,ap3502i,True,False,False,True,False,False
bryancenter-roof-ap1562d-rw-4,AP1562D,AIR-AP1562D-B-K9,10.140.186.100,bryancenter-ag,00:62:ec:4a:80:fe,defaultlocation,2c:d0:2d:11:b5:60,7791.0,BryanStudentCenter,roof,ap1562d,True,False,False,False,True,False
bryancenter-roof-ap1562d-rw-5,AP1562D,AIR-AP1562D-B-K9,10.140.186.198,bryancenter-ag,2c:33:11:0e:30:60,defaultlocation,a0:23:9f:f9:a0:60,7791.0,BryanStudentCenter,roof,ap1562d,True,False,False,False,True,False
bryancenter-113-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.89,bryancenter-ag,28:94:0f:26:23:a5,Bryanctr,0c:85:25:c6:ed:90,7791.0,BryanStudentCenter,113,ap3502i,True,False,False,True,False,False
bryancenter-305-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.137,bryancenter-ag,c4:64:13:cb:7b:52,defaultlocation,d4:a0:2a:4b:e0:40,7791.0,BryanStudentCenter,305,ap3502i,True,False,False,True,False,False
bryancenter-002d-ap3502e-rw-1,AP3500E,AIR-CAP3502E-A-K9,10.140.186.144,bryancenter-ag,28:94:0f:c9:1c:71,BryanCtr,d8:24:bd:e9:5f:b0,7791.0,BryanStudentCenter,002d,ap3502e,True,False,False,False,True,False
bryancenter-306-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.147,bryancenter-ag,c4:64:13:38:d0:f1,Bryanctr,c4:0a:cb:df:3f:d0,7791.0,BryanStudentCenter,306,ap3502i,True,False,False,True,False,False
bryancenter-339-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.142,bryancenter-ag,c4:64:13:38:de:55,defaultlocation,d4:a0:2a:11:f0:00,7791.0,BryanStudentCenter,339,ap3502i,True,False,False,True,False,False
bryancenter-340-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.178,bryancenter-ag,c4:64:13:2b:fb:be,defaultlocation,c4:0a:cb:a5:87:a0,7791.0,BryanStudentCenter,340,ap3502i,True,False,False,True,False,False
bryancenter-aubon-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.154,bryancenter-ag,c4:64:13:d3:13:7c,defaultlocation,d4:a0:2a:4a:56:00,7791.0,BryanStudentCenter,aubon,ap3502i,True,False,False,True,False,False
bryancenter-219-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.82,bryancenter-ag,28:94:0f:63:dd:dc,Bryanctr,d8:24:bd:2e:69:60,7791.0,BryanStudentCenter,219,ap3502i,False,True,False,True,False,False
bryancenter-306-ap3502i-rc-2,AP3500I,AIR-CAP3502I-A-K9,10.140.186.165,bryancenter-ag,c4:64:13:5b:aa:17,Bryanctr,c4:0a:cb:eb:30:70,7791.0,BryanStudentCenter,306,ap3502i,True,False,False,True,False,False
bryancenter-019-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.52,bryancenter-ag,c4:64:13:5b:aa:06,BryanCtr,c4:0a:cb:df:43:20,7791.0,BryanStudentCenter,019,ap3502i,False,True,False,True,False,False
bryancenter-grifstg-ap3502e-rw-1,AP3500E,AIR-CAP3502E-A-K9,10.140.186.61,bryancenter-ag,2c:54:2d:8e:e5:f5,griffiththeater,a4:18:75:18:1b:a0,7791.0,BryanStudentCenter,grifstg,ap3502e,True,False,False,False,True,False
bryancenter-246-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.158,bryancenter-ag,28:94:0f:26:09:c5,Bryanctr,0c:85:25:33:b8:80,7791.0,BryanStudentCenter,246,ap3502i,False,True,False,True,False,False
bryancenter-003tc-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.199,bryancenter-ag,c4:64:13:38:d0:b9,BryanCtr,c4:0a:cb:df:37:f0,7791.0,BryanStudentCenter,003tc,ap3502i,True,False,False,True,False,False
bryancenter-303-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.72,bryancenter-ag,c4:64:13:c3:07:82,BryanCtr,d4:a0:2a:10:fd:e0,7791.0,BryanStudentCenter,303,ap3502i,True,False,False,True,False,False
bryancenter-roof-ap1562d-rw-8,AP1562D,AIR-AP1562D-B-K9,10.140.186.53,bryancenter-ag,2c:33:11:0e:2a:a8,defaultlocation,a0:23:9f:b4:82:a0,7791.0,BryanStudentCenter,roof,ap1562d,True,False,False,False,True,False
